Y (compra/vende),X1=precio,X2=puntos
0,59863.8,74
0,63540.9,74
2,62980.4,75
2,63216,79
2,61379.7,78
2,60041.9,76
0,56207.1,79
0,55646.1,74
0,56483.2,73
0,53820.2,73
0,51729.5,65
0,51143.6,55
0,50088.9,37
0,48963.6,31
0,54020.5,27
0,55036.5,50
0,54841.4,59
0,53560.8,52
0,57720.3,51
0,57807.1,68
0,56603.8,66
0,57169.8,61
0,53741.5,68
0,57441.3,48
0,56405.4,65
0,57337.2,64
0,58840.1,67
0,58238.3,73
0,55848.9,72
0,56695.7,61
0,49384.2,68
0,49704.6,31
0,49839.8,26
1,46708.8,27
0,46426.4,20
1,43541.3,27
1,42897.3,21
1,36720.5,23
1,40717.2,11
1,37297.4,19
1,37448.3,12
1,34679.7,14
1,38750.6,10
1,38378.3,22
0,39249.2,22
1,38417.3,27
1,35662.5,21
1,34584.6,18
1,35652.8,10
1,37298.6,18
1,36687.6,20
1,37555.8,23
0,39187.3,24
1,36851.3,27
1,35520,24
1,35815.4,17
1,33578,15
1,33382.9,13
1,37332.2,14
1,36649.4,21
0,37314.6,21
1,35467.5,28
0,39022.9,23
0,40529.4,28
0,40156.1,38
0,38336,33
1,38052,26
1,35749.4,25
1,35513.4,23
1,35595.8,21
1,31692,23
1,32496.4,10
1,33674.3,14
0,34665.8,22
1,31594,27
1,32243.4,20
1,34678.5,22
1,34475.9,25
0,35834.7,25
0,35026.9,28
1,33543.6,28
1,33813.4,21
0,34742.8,24
0,35298.2,27
1,33687.8,29
0,34225.6,20
1,33867.8,28
1,32866.3,20
1,33797.4,20
1,33510.6,20
1,34227.7,20
1,33113,25
1,32728.1,20
1,32820.7,21
1,31840.5,20
1,31394,22
1,31518.6,15
1,31785.4,19
1,30837.2,24
1,29793.8,19
1,32131.4,10
1,32298.9,21
1,33603.3,23
0,33824.8,22
0,35391.1,27
0,37276.6,26
0,39452,32
0,40003.2,50
0,40001.4,50
0,42203.4,53
0,41553.7,60
0,39878.3,60
0,39168.4,48
0,38130.3,48
0,39736.9,42
0,40867.2,50
0,42795.4,52
0,44614.2,69
0,43792.8,74
0,46284.3,65
0,45593.8,71
0,45564.3,70
0,44403.4,70
2,47809.1,70
0,47081.5,76
0,46991.3,71
0,45996.3,72
0,44691.6,72
0,44723.8,73
0,46755.9,70
2,49324,70
2,48875.8,78
2,49254.5,76
2,49539.7,79
0,47714.7,79
0,48994.5,73
0,46831.6,75
2,49064.3,71
0,48897.1,78
0,48777.4,72
0,46992.7,73
0,47130.4,73
0,48819.4,71
0,49274.3,74
0,49999,74
0,49918.4,72
2,51768.6,73
2,52672.1,79
0,46779.6,79
0,46061.4,47
0,46385.6,45
0,44842.8,46
0,45161.9,31
0,46062.3,32
0,44949.5,44
0,47077.5,30
0,48130.6,49
0,47748,53
0,47282.8,48
0,48306.7,50
0,47238.7,53
0,42870.6,50
1,40651.3,27
0,43551.6,21
0,44869.2,27
0,42819.9,33
0,42686.8,28
0,43203.4,27
1,42172.6,26
1,41022.3,25
1,41536.8,24
0,43823.3,20
0,48146,27
0,47666.9,54
0,48200.1,49
0,49227.3,54
0,51469.3,59
2,55323.2,68
0,53783.9,76
0,53914.7,74
0,54942.5,72
0,54687.7,71
2,57477.3,71
0,56015.9,78
0,57380.1,70
0,57345.8,70
2,61672.5,71
2,60861.1,78
2,61527.5,79
0,62056.3,78
2,64278.5,75
2,65979.1,82
0,62210.2,84
0,60690.3,75
0,61312.5,74
0,60866.5,73
2,63067,72
0,60310.8,76
0,58438.1,73
0,60582.5,66
0,62242.8,70
0,61840.1,73
0,61309.6,74
0,60915.3,74
2,63221.7,73
0,62918.5,76
0,61412.6,73
0,60974.3,73
0,61483.9,71
0,63273.2,73
2,67527.9,75
0,66904.4,84
2,64932.6,75
0,64806.7,77
0,64134.5,74
0,64398.6,72
0,65508.2,74
0,63597.9,72
0,60089.1,71
0,60367.8,52
0,56955.3,54
0,58083.4,34
0,59717.6,43
0,58714.3,49
0,56308.8,50
0,57573.2,33
0,57171.7,42
0,58935.1,32
1,53730.9,47
0,54765.9,21
0,57291.5,27
0,57794.8,33
0,56882.9,40
0,57210.3,34
0,56496,32
1,53631.5,31
1,49195.2,25
1,49405.5,18
1,50562.1,16
0,50595.2,25
0,50473.9,28
1,47596.6,29
1,47137.2,24
0,49314.5,16
0,50081,27
1,46703.6,28
0,48366.5,21
0,48871.5,28
1,47628.2,29
1,46172.2,23
0,46856.2,24
1,46704.5,29
0,46895.2,25
0,48902,27
0,48599.7,45
0,50801,34
0,50786.1,41
0,50406.4,39
0,50779.9,37
0,50678.2,40
0,47545.2,41
1,46461.7,27
0,47123.3,22
1,46219.5,28
0,47738,21
0,47311.8,29
1,46430.2,29
1,45837.3,23
1,43425.9,24
1,43097.5,15
1,41546.7,18
1,41672,10
1,41848.3,23
1,41832.2,23
1,42733.2,21
1,43901,22
1,42560,21
1,43073.3,21
1,43097,23
1,43079.1,21
1,42209.3,22
1,42364.6,24
1,41677.8,24
1,40715.9,24
1,36475.5,19
1,35075.2,13
1,36269.5,11
1,36686.3,13
1,36950.6,12
1,36800.4,23
1,37164.3,20
1,37745.1,24
0,38170.8,24
1,37917.7,29
0,38498.6,20
0,38709.7,26
1,36890.2,28
1,37287.8,20
0,41567.6,20
0,41412.1,33
0,42392.2,37
0,43833.9,45
0,44038.2,48
0,44388.9,54
0,43521,50
0,42388.4,50
0,42205.2,44
0,42061.1,44
0,42550.3,46
0,44544.4,46
0,43883.6,51
0,40552.8,52
1,40000.1,30
0,40090.3,25
1,38355,27
1,37017.7,25
1,38248.2,20
1,37224.6,25
0,38339.2,23
0,39209.6,27
0,39115.5,26
1,37689.1,26
0,43188.2,20
0,44420.3,51
0,43912.8,52
0,42463,39
1,39142.7,33
1,39395.8,22
1,38403.1,22
1,38024.8,23
1,38744.8,21
0,41929,22
1,39416.3,28
